我的商店广告报告 - Shopee 马来西亚
用户名称:,kuca1.my
报告创建时间：,23/03/2023 23:12
时间：,22/03/2023 - 22/03/2023
商店ID:,833005508

排序,广告名称,状态,商品编号,广告类型,关键字/展示位置,匹配类型,搜寻结果,手动/自动,开始日期,结束日期,浏览数,点击数,点击率,平均排名,转化,直接转化,转化率,直接转化率,每点击成本,每一转化的成本,每一直接转化的成本,商品已出售,直接已售商品,销售金额,直接销售金额,花费,投资产出比,直接投资产出比,成本收入对比,直接成本收入对比,商品浏览数,商品点击数,商品点击率
126,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,kerusi gaming,广泛匹配,gamer chair,手动,02/11/2022 00:00,无限制,5,1,20.00%,5.4,0,0,0.00%,0.00%,0.39,0.00,0.00,0,0,0.00,0.00,0.39,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
127,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,gaming chair blue,广泛匹配,Red Bull Gaming Chair,手动,28/10/2022 00:00,无限制,5,1,20.00%,6.0,0,0,0.00%,0.00%,0.23,0.00,0.00,0,0,0.00,0.00,0.23,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
128,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,kerusi gaming,广泛匹配,Kerusi gaming pink,手动,28/10/2022 00:00,无限制,5,1,20.00%,3.6,0,0,0.00%,0.00%,0.61,0.00,0.00,0,0,0.00,0.00,0.61,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
129,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,ergonomic chair,广泛匹配,Study chair,手动,28/10/2022 00:00,无限制,4,1,25.00%,5.0,0,0,0.00%,0.00%,0.37,0.00,0.00,0,0,0.00,0.00,0.37,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
130,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,gaming kerusi,广泛匹配,kerusi gaming rgb led,手动,28/10/2022 00:00,无限制,4,1,25.00%,10.0,0,0,0.00%,0.00%,0.73,0.00,0.00,0,0,0.00,0.00,0.73,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
131,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,kerusi gaming murah malaysia,广泛匹配,gaming chair,手动,28/10/2022 00:00,无限制,4,1,25.00%,0.0,0,0,0.00%,0.00%,0.49,0.00,0.00,0,0,0.00,0.00,0.49,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
132,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,almari kasut bertutup,广泛匹配,tak kasut bertutup,手动,28/10/2022 00:00,无限制,4,1,25.00%,4.0,0,0,0.00%,0.00%,0.15,0.00,0.00,0,0,0.00,0.00,0.15,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
133,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,Aluminium shoe rack,手动,28/10/2022 00:00,无限制,4,1,25.00%,1.5,0,0,0.00%,0.00%,0.08,0.00,0.00,0,0,0.00,0.00,0.08,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
134,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,rak kasut lekat di dinding,手动,28/10/2022 00:00,无限制,4,1,25.00%,0.5,0,0,0.00%,0.00%,0.18,0.00,0.00,0,0,0.00,0.00,0.18,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
135,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,shoe rack storage organizer,手动,28/10/2022 00:00,无限制,4,1,25.00%,17.0,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,0.19,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
136,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,shoe cabinet,广泛匹配,shoe cabinet with door,手动,28/10/2022 00:00,无限制,4,1,25.00%,1.75,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,0.19,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
137,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,shoe cabinet,广泛匹配,slim shoe cabinet,手动,28/10/2022 00:00,无限制,4,1,25.00%,2.5,0,0,0.00%,0.00%,0.31,0.00,0.00,0,0,0.00,0.00,0.31,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
138,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,meja belajar,广泛匹配,床上桌子,手动,02/11/2022 00:00,无限制,4,1,25.00%,3.25,0,0,0.00%,0.00%,0.47,0.00,0.00,0,0,0.00,0.00,0.47,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
139,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,small table,广泛匹配,Movable desktop table,手动,02/11/2022 00:00,无限制,4,1,25.00%,12.25,0,0,0.00%,0.00%,0.68,0.00,0.00,0,0,0.00,0.00,0.68,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
140,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,small table,广泛匹配,床上小桌子,手动,02/11/2022 00:00,无限制,4,1,25.00%,6.5,0,0,0.00%,0.00%,0.60,0.00,0.00,0,0,0.00,0.00,0.60,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
141,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,study table,广泛匹配,床桌,手动,02/11/2022 00:00,无限制,4,1,25.00%,2.0,0,0,0.00%,0.00%,0.15,0.00,0.00,0,0,0.00,0.00,0.15,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
142,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju murah,广泛匹配,cabinat baju,手动,09/12/2022 00:00,无限制,4,1,25.00%,0.5,0,0,0.00%,0.00%,0.29,0.00,0.00,0,0,0.00,0.00,0.29,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
143,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju murah,广泛匹配,rack baju,手动,09/12/2022 00:00,无限制,4,1,25.00%,1.25,0,0,0.00%,0.00%,0.15,0.00,0.00,0,0,0.00,0.00,0.15,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
144,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer baju,广泛匹配,drawer baju plastic,手动,09/12/2022 00:00,无限制,4,1,25.00%,14.25,0,0,0.00%,0.00%,0.12,0.00,0.00,0,0,0.00,0.00,0.12,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
145,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer cabinet,广泛匹配,tier drawer cabinet,手动,09/12/2022 00:00,无限制,4,1,25.00%,4.0,0,0,0.00%,0.00%,0.17,0.00,0.00,0,0,0.00,0.00,0.17,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
146,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,plastic drawer,精准匹配,plastik drawer,手动,09/12/2022 00:00,无限制,4,1,25.00%,4.0,0,0,0.00%,0.00%,0.30,0.00,0.00,0,0,0.00,0.00,0.30,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
147,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,computer chair,广泛匹配,書桌 椅子,手动,02/11/2022 00:00,无限制,4,1,25.00%,1.75,0,0,0.00%,0.00%,0.14,0.00,0.00,0,0,0.00,0.00,0.14,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
148,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,kerusi gaming,广泛匹配,gamming chair,手动,02/11/2022 00:00,无限制,4,1,25.00%,7.0,0,0,0.00%,0.00%,0.50,0.00,0.00,0,0,0.00,0.00,0.50,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
149,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,kerusi gaming,广泛匹配,kerusi gaming rgb led,手动,02/11/2022 00:00,无限制,4,1,25.00%,6.0,0,0,0.00%,0.00%,0.37,0.00,0.00,0,0,0.00,0.00,0.37,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
150,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,computer chair,广泛匹配,Desk chair,手动,28/10/2022 00:00,无限制,4,1,25.00%,3.0,0,0,0.00%,0.00%,0.62,0.00,0.00,0,0,0.00,0.00,0.62,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
151,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,office chair,广泛匹配,kursi,手动,28/10/2022 00:00,无限制,4,1,25.00%,5.0,0,0,0.00%,0.00%,0.28,0.00,0.00,0,0,0.00,0.00,0.28,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
152,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,gaming kerusi,广泛匹配,kursi gaming,手动,28/10/2022 00:00,无限制,4,1,25.00%,5.0,0,0,0.00%,0.00%,0.43,0.00,0.00,0,0,0.00,0.00,0.43,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
153,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,kerusi gaming pink,广泛匹配,kerusi gaming murah pink,手动,28/10/2022 00:00,无限制,4,1,25.00%,1.0,0,0,0.00%,0.00%,0.26,0.00,0.00,0,0,0.00,0.00,0.26,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
154,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,fabric chair,广泛匹配,dining chair,手动,28/10/2022 00:00,无限制,3,1,33.33%,3.0,0,0,0.00%,0.00%,0.37,0.00,0.00,0,0,0.00,0.00,0.37,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
155,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,rak kasut aluminium,手动,28/10/2022 00:00,无限制,3,1,33.33%,1.3333333333333333,0,0,0.00%,0.00%,0.15,0.00,0.00,0,0,0.00,0.00,0.15,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
156,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,tempat letak kasut,手动,28/10/2022 00:00,无限制,3,1,33.33%,3.6666666666666665,0,0,0.00%,0.00%,0.30,0.00,0.00,0,0,0.00,0.00,0.30,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
157,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,shoe cabinet,广泛匹配,drawer,手动,28/10/2022 00:00,无限制,3,1,33.33%,39.666666666666664,0,0,0.00%,0.00%,0.26,0.00,0.00,0,0,0.00,0.00,0.26,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
158,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,shoe rack cabinet,广泛匹配,shoe rack ikea,手动,28/10/2022 00:00,无限制,3,1,33.33%,2.3333333333333335,0,0,0.00%,0.00%,0.31,0.00,0.00,0,0,0.00,0.00,0.31,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
159,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,meja study,广泛匹配,aesthetic study table,手动,02/11/2022 00:00,无限制,3,1,33.33%,0.0,0,0,0.00%,0.00%,0.22,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
160,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,study table,广泛匹配,portable study table,手动,02/11/2022 00:00,无限制,3,1,33.33%,2.0,0,0,0.00%,0.00%,0.60,0.00,0.00,0,0,0.00,0.00,0.60,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
161,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju murah,广泛匹配,gerobok baju,手动,09/12/2022 00:00,无限制,3,1,33.33%,8.0,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.21,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
162,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju plastik,广泛匹配,Drawer almari baju,手动,09/12/2022 00:00,无限制,3,1,33.33%,1.0,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.21,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
163,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer baju,广泛匹配,drawer baju plastic lebar,手动,09/12/2022 00:00,无限制,3,1,33.33%,15.0,0,0,0.00%,0.00%,0.10,0.00,0.00,0,0,0.00,0.00,0.10,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
164,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer cabinet,广泛匹配,cheast drawer,手动,09/12/2022 00:00,无限制,3,1,33.33%,17.0,0,0,0.00%,0.00%,0.27,0.00,0.00,0,0,0.00,0.00,0.27,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
165,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer organizer,广泛匹配,drawer selimut,手动,09/12/2022 00:00,无限制,3,1,33.33%,0.0,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,0.19,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
166,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,kerusi gaming,广泛匹配,kurusi gaming,手动,02/11/2022 00:00,无限制,3,1,33.33%,2.0,0,0,0.00%,0.00%,0.38,0.00,0.00,0,0,0.00,0.00,0.38,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
167,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,kerusi gaming murah,广泛匹配,kerusi sex,手动,28/10/2022 00:00,无限制,3,1,33.33%,7.0,0,0,0.00%,0.00%,0.45,0.00,0.00,0,0,0.00,0.00,0.45,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
168,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,office chair,广泛匹配,Kuca Chair,手动,28/10/2022 00:00,无限制,3,1,33.33%,0.0,0,0,0.00%,0.00%,0.56,0.00,0.00,0,0,0.00,0.00,0.56,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
169,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,tomaz gaming chair,广泛匹配,tomaz chair,手动,28/10/2022 00:00,无限制,3,1,33.33%,7.0,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.21,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
170,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,ergonomic chair,广泛匹配,ergonomic chair,手动,28/10/2022 00:00,无限制,3,1,33.33%,28.0,0,0,0.00%,0.00%,0.35,0.00,0.00,0,0,0.00,0.00,0.35,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
171,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,gaming chair,广泛匹配,Gaming chair thomas,手动,28/10/2022 00:00,无限制,3,1,33.33%,10.0,0,0,0.00%,0.00%,0.46,0.00,0.00,0,0,0.00,0.00,0.46,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
172,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,kerusi gaming,广泛匹配,電腦椅子,手动,28/10/2022 00:00,无限制,3,1,33.33%,7.666666666666667,0,0,0.00%,0.00%,0.23,0.00,0.00,0,0,0.00,0.00,0.23,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
173,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,kerusi gaming pink,精准匹配,kerusi gaming pink,手动,28/10/2022 00:00,无限制,3,1,33.33%,9.0,0,0,0.00%,0.00%,0.43,0.00,0.00,0,0,0.00,0.00,0.43,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
174,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,kerusi gaming pink,广泛匹配,Kerusi pink,手动,28/10/2022 00:00,无限制,3,1,33.33%,7.0,0,0,0.00%,0.00%,0.39,0.00,0.00,0,0,0.00,0.00,0.39,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
175,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,gaming chair,广泛匹配,secret lab gaming chair,手动,28/10/2022 00:00,无限制,2,1,50.00%,5.0,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.21,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
176,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,gaming kerusi,广泛匹配,gaming chair murah,手动,28/10/2022 00:00,无限制,2,1,50.00%,1.5,0,0,0.00%,0.00%,0.46,0.00,0.00,0,0,0.00,0.00,0.46,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
177,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,almari kasut bertutup murah,广泛匹配,rak kasit bertutup,手动,28/10/2022 00:00,无限制,2,1,50.00%,3.0,0,0,0.00%,0.00%,0.41,0.00,0.00,0,0,0.00,0.00,0.41,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
178,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,rak kasut portable,手动,28/10/2022 00:00,无限制,2,1,50.00%,16.0,0,0,0.00%,0.00%,0.30,0.00,0.00,0,0,0.00,0.00,0.30,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
179,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,shoe rack white,手动,28/10/2022 00:00,无限制,2,1,50.00%,21.0,0,0,0.00%,0.00%,0.34,0.00,0.00,0,0,0.00,0.00,0.34,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
180,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,wall shoe rack,手动,28/10/2022 00:00,无限制,2,1,50.00%,8.0,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,0.19,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
181,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,shoe rack cabinet,广泛匹配,box kasut,手动,28/10/2022 00:00,无限制,2,1,50.00%,6.0,0,0,0.00%,0.00%,0.26,0.00,0.00,0,0,0.00,0.00,0.26,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
182,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,meja belajar,广泛匹配,meja jepun murah,手动,02/11/2022 00:00,无限制,2,1,50.00%,10.0,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.21,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
183,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju murah,广泛匹配,almari baju ikea,手动,09/12/2022 00:00,无限制,2,1,50.00%,13.0,0,0,0.00%,0.00%,0.15,0.00,0.00,0,0,0.00,0.00,0.15,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
184,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju murah,广泛匹配,almari baju solek,手动,09/12/2022 00:00,无限制,2,1,50.00%,12.0,0,0,0.00%,0.00%,0.23,0.00,0.00,0,0,0.00,0.00,0.23,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
185,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju murah,广泛匹配,cabinat,手动,09/12/2022 00:00,无限制,2,1,50.00%,40.0,0,0,0.00%,0.00%,0.23,0.00,0.00,0,0,0.00,0.00,0.23,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
186,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju murah,广泛匹配,kotak baju almari,手动,09/12/2022 00:00,无限制,2,1,50.00%,7.0,0,0,0.00%,0.00%,0.13,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
187,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju plastik,广泛匹配,Almari baju dan beg,手动,09/12/2022 00:00,无限制,2,1,50.00%,41.0,0,0,0.00%,0.00%,0.10,0.00,0.00,0,0,0.00,0.00,0.10,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
188,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer cabinet,广泛匹配,ps 5 cabinet,手动,09/12/2022 00:00,无限制,2,1,50.00%,0.0,0,0,0.00%,0.00%,0.11,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
189,Half price today !KUCA office chair Study Chair Ergonomic chair kerusi gaming computer chair headrest fabric chair adjustable chair kerusi kain,正常,21755371922,商品搜索广告,ergonomic chair,广泛匹配,kemilng chair,手动,10/11/2022 00:00,无限制,2,1,50.00%,0.0,0,0,0.00%,0.00%,0.83,0.00,0.00,0,0,0.00,0.00,0.83,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
190,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,computer chair,广泛匹配,ergonomic chair,手动,02/11/2022 00:00,无限制,2,1,50.00%,21.0,0,0,0.00%,0.00%,0.20,0.00,0.00,0,0,0.00,0.00,0.20,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
