我的商店广告报告 - Shopee 马来西亚
用户名称:,kuca1.my
报告创建时间：,23/03/2023 23:12
时间：,22/03/2023 - 22/03/2023
商店ID:,833005508

排序,广告名称,状态,商品编号,广告类型,关键字/展示位置,匹配类型,搜寻结果,手动/自动,开始日期,结束日期,浏览数,点击数,点击率,平均排名,转化,直接转化,转化率,直接转化率,每点击成本,每一转化的成本,每一直接转化的成本,商品已出售,直接已售商品,销售金额,直接销售金额,花费,投资产出比,直接投资产出比,成本收入对比,直接成本收入对比,商品浏览数,商品点击数,商品点击率
14,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rak kasut,广泛匹配,rak kasut,手动,28/10/2022 00:00,无限制,100,4,4.00%,9.02,0,0,0.00%,0.00%,0.31,0.00,0.00,0,0,0.00,0.00,1.25,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
15,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,kerusi gaming,广泛匹配,Kerusi gaming,手动,28/10/2022 00:00,无限制,73,4,5.48%,7.904109589041096,0,0,0.00%,0.00%,0.27,0.00,0.00,0,0,0.00,0.00,1.06,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
16,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer organizer,广泛匹配,drawer,手动,09/12/2022 00:00,无限制,47,4,8.51%,9.063829787234043,0,0,0.00%,0.00%,0.17,0.00,0.00,0,0,0.00,0.00,0.67,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
17,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rak kasut,广泛匹配,Rak Kasut,手动,28/10/2022 00:00,无限制,41,4,9.76%,7.975609756097561,0,0,0.00%,0.00%,0.23,0.00,0.00,0,0,0.00,0.00,0.94,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
18,2023NEW KUCA kerusi gaming Technical cloth Material gaming chair fabric chair ergonomic chair Office Chair adjustable chair kerusi kain kerusi permainan,正常,15293402502,商品搜索广告,kerusi gaming,广泛匹配,Kerusi gaming,手动,28/10/2022 00:00,无限制,28,4,14.29%,12.535714285714286,0,0,0.00%,0.00%,0.49,0.00,0.00,0,0,0.00,0.00,1.98,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
19,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju plastik,广泛匹配,rak baju,手动,09/12/2022 00:00,无限制,16,4,25.00%,18.25,0,0,0.00%,0.00%,0.18,0.00,0.00,0,0,0.00,0.00,0.72,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
20,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rak kasut,精准匹配,rak kasut,手动,28/10/2022 00:00,无限制,72,3,4.17%,11.402777777777779,0,0,0.00%,0.00%,0.23,0.00,0.00,0,0,0.00,0.00,0.68,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
21,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,kerusi gaming,广泛匹配,kerusi gaming,手动,28/10/2022 00:00,无限制,52,3,5.77%,13.057692307692308,0,0,0.00%,0.00%,0.45,0.00,0.00,0,0,0.00,0.00,1.35,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
22,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,chest drawer,精准匹配,Chest drawer,手动,09/12/2022 00:00,无限制,45,3,6.67%,8.466666666666667,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,0.58,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
23,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju plastik,广泛匹配,kabinet baju,手动,09/12/2022 00:00,无限制,22,3,13.64%,4.2272727272727275,0,0,0.00%,0.00%,0.13,0.00,0.00,0,0,0.00,0.00,0.38,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
24,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,plastic drawer,精准匹配,Plastic drawer,手动,09/12/2022 00:00,无限制,20,3,15.00%,5.25,0,0,0.00%,0.00%,0.23,0.00,0.00,0,0,0.00,0.00,0.70,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
25,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer organizer,广泛匹配,Drawer Cabinet,手动,09/12/2022 00:00,无限制,19,3,15.79%,8.368421052631579,0,0,0.00%,0.00%,0.26,0.00,0.00,0,0,0.00,0.00,0.79,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
26,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer organizer,广泛匹配,drawer plastic,手动,09/12/2022 00:00,无限制,16,3,18.75%,1.3125,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,0.56,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
27,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer organizer,广泛匹配,drawer organizer,手动,09/12/2022 00:00,无限制,13,3,23.08%,5.384615384615385,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.62,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
28,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,rack kasut ikea,手动,28/10/2022 00:00,无限制,8,3,37.50%,7.75,0,0,0.00%,0.00%,0.14,0.00,0.00,0,0,0.00,0.00,0.43,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
